DOI,Materials-1,Materials-2,Voltage window (V),Specific surface area (m2/g),Pore size (nm),Id/Ig,N (at. %),O (at. %),Capacitance (F/g)
10.1021/am502604u,graphene,CNT,0.9,263,4.7,1.03,0,0,162.3
10.1021/acsami.5b06698,,,1,1015.4,3.87,1.07,5.04,8.76,440
10.1002/anie.201104334,CNT,,0.6,1429,1.6,1.075,0,0,200
10.1039/c6ra07825g,N-doped graphene,,1,102.6,3.9,1.1,5.5,6.8,160
10.1039/c6ra07825g,N-doped graphene,,1,290.5,3.9,1.1,6.3,11.5,270
10.1039/c6ra07825g,N-doped graphene,,1,423.2,3.9,1.1,5.9,9.6,378
10.1039/c4ra11028e,AC,,1.3,2094,1.17,1.11,0,0,224
10.1039/c3ta15245f,porous carbon,,1,2005.9,0.55,1.12,0.1,6.27,319
10.1039/c3ta15245f,porous carbon,,3.5,2005.9,0.55,1.12,0.1,6.27,140
10.1039/c4ta02167c,3D porous carbon,,1,2753,2.23,1.12,0,0,307
10.1039/c5ra05688h,porous carbon,,0.9,943,1.9,1.15,2.06,23.32,232
10.1021/acssuschemeng.5b00926,N-doped porous carbon,,1,145.4,2.4,1.16,1.49,7.33,12
10.1039/c3ta12722b,porous carbon,,1,1130,3,1.18,0,0,132
10.1002/adma.201201948,NB-doped graphene,,0.8,249,3.2,1.19,3,0,239
10.1039/c4ta00936c,N-doped graphene,,1,342,0.62,1.22,0.54,1.8,10.6
10.1039/c4ta00936c,N-doped graphene,,1,342,0.62,1.22,0.54,1.8,22.2
10.1021/acssuschemeng.5b00926,N-doped porous carbon,,1,760.49,2.68,1.22,3.9,9.48,150
10.1039/c4ta00936c,B-doped graphene,,1,301,0.62,1.25,0,3.67,19.9
10.1039/c4ta00936c,B-doped graphene,,1,301,0.62,1.25,0,3.67,34.6
10.1002/anie.201104334,CNT,carbon,0.6,1080,0.7,1.25,0,0,125
10.1021/acssuschemeng.5b00926,N-doped porous carbon,,1,584.98,7.31,1.25,0.92,7.38,148
10.1039/c5ra05688h,porous carbon,,0.9,1177,1.89,1.27,1.88,21.89,267
10.1021/am4028235,graphene,,0.8,1383,1,1.3,0,9,160
10.1021/acssuschemeng.5b00926,N-doped porous carbon,,1,945.76,5.89,1.34,5.59,6.91,260
10.1039/c4ta00936c,graphene,,1,343,0.62,1.38,0,1.54,2.59
10.1039/c4ta00936c,graphene,,1,343,0.62,1.38,0,1.54,7.86
10.1039/c5ra05688h,porous carbon,,0.9,1733,1.97,1.38,1.64,18.98,304
10.1021/acsami.7b09801,N-doped porous carbon,,1,1638,2.2,1.45,4.36,5.29,302
10.1039/c4ra13720e,porous graphene,,1,715,1.53,1.47,0,0,177
10.1021/acssuschemeng.5b00926,N-doped porous carbon,,1,805.58,3.38,1.51,8.34,9.24,323
10.1039/c6nr08987a,N-doped porous carbon,CNT,0.9,642.5,2.22,1.53,10.969,4.735,192.1
10.1039/c6nr08987a,N-doped porous carbon,CNT,0.9,884.6,2.57,1.53,10.081,3.52,222.6
10.1039/c6nr08987a,N-doped porous carbon,CNT,0.9,928.2,2.74,1.53,10.454,2.492,293.4
10.1021/am4028235,graphene,,0.8,682,4,1.62,0,10.75,100
10.1039/c5ra26263a,porous carbon,,1,951.7,1.48,1.64,0,0,114
10.1002/chem.201402897,3D carbon,graphene,1,1288,2.6,1.69,0,0,241
10.1002/chem.201402897,3D carbon,,3,1288,2.6,1.69,0,0,100
10.1039/c6nr08987a,N-doped porous carbon,,0.9,999.7,3.17,1.72,10.193,4.335,166.7
10.1039/c6ta07927j,AC,CNT,4,2855.7,2.21,1.74,0.51,5.07,344.1
10.1039/c5ra05688h,porous carbon,,0.9,1841,2.25,1.78,1.39,17.14,187
10.1039/c6ta07927j,AC,CNT,4,1921.7,3.06,1.905,0.93,6.4,307.9
10.1039/c5ra26263a,porous carbon,,1,1379.4,1.48,1.91,0,0,126
10.1039/c5ra26263a,porous carbon,,1,1636.2,1.48,1.92,0,0,133
10.1039/c5ra26263a,porous carbon,,1,1748.2,1.59,1.93,0,0,149
10.1002/chem.201402897,3D carbon,graphene,1,2034,3.5,1.93,0,0,275
10.1002/chem.201402897,3D carbon,,3,2034,3.5,1.93,0,0,151.7
10.1039/c5ra26263a,porous carbon,,1,2006.9,1.36,1.95,0,0,174
10.1039/c5ra26263a,porous carbon,,1,2178.2,1.59,1.97,0,0,206
10.1039/c5ra05688h,porous carbon,,0.9,1554,2.36,2.35,1.09,15.24,204
10.1007/s10800-015-0840-1,CDC,,1,1489,1.14,2.37,0,0,191
10.1038/srep40259,N-doped porous carbon,CNT,1,613.8,3.09,2.38,9,6.3,216
